Year,Student_ID,Campus_ID,Grade,Gender,Teacher_ID,Attendance_Rate,Standardized_Math_Score,Standardized_Social_Studies_Score,Standardized_Science_Score
2021,S0547,C2,1st,Female,T0030,0.987,73.6,55.9,80.5
2022,S0547,C2,2nd,Female,T0036,0.919,90.8,96.9,92.0
2023,S0547,C2,3rd,Female,T0041,0.846,97.7,100.0,84.3
2024,S0547,C2,4th,Female,T0084,0.9,71.5,65.9,78.9
2025,S0547,C2,5th,Female,T0086,1.0,85.4,76.9,84.7
2021,S0548,C2,1st,Male,T0030,0.937,73.2,67.9,70.6
2022,S0548,C2,2nd,Male,T0082,0.865,87.6,98.5,85.9
2023,S0548,C2,3rd,Male,T0041,0.936,92.9,89.8,85.4
2024,S0548,C2,4th,Male,T0084,0.946,76.1,75.0,74.7
2025,S0548,C2,5th,Male,T0086,1.0,82.0,69.2,90.2
2021,S0549,C2,1st,Male,T0031,0.994,87.4,77.3,85.7
2022,S0549,C2,2nd,Male,T0081,0.796,67.5,50.5,78.7
2023,S0549,C2,3rd,Male,T0083,0.977,82.1,81.3,81.8
2024,S0549,C2,4th,Male,T0043,0.81,85.2,68.7,70.8
2025,S0549,C2,5th,Male,T0047,0.928,75.7,60.2,77.8
2021,S0550,C2,1st,Male,T0030,0.867,78.3,73.7,78.1
2022,S0550,C2,2nd,Male,T0036,0.953,91.8,75.1,94.0
2023,S0550,C2,3rd,Male,T0042,0.81,80.2,78.6,90.0
2024,S0550,C2,4th,Male,T0043,0.666,70.9,62.5,81.7
2025,S0550,C2,5th,Male,T0047,0.913,83.9,72.0,82.5
2021,S0551,C2,1st,Female,T0033,0.892,83.7,84.5,90.7
2022,S0551,C2,2nd,Female,T0082,0.961,95.4,83.5,83.1
2023,S0551,C2,3rd,Female,T0083,0.958,93.2,81.4,79.9
2024,S0551,C2,4th,Female,T0045,0.838,83.4,79.1,84.1
2025,S0551,C2,5th,Female,T0047,0.883,87.2,85.2,77.2
2021,S0552,C2,1st,Female,T0033,0.895,89.3,92.3,87.1
2022,S0552,C2,2nd,Female,T0035,0.911,71.3,81.1,83.2
2023,S0552,C2,3rd,Female,T0083,0.996,89.7,76.4,86.2
2024,S0552,C2,4th,Female,T0044,0.8,84.1,83.3,82.8
2025,S0552,C2,5th,Female,T0103,0.908,75.0,65.3,73.9
2021,S0553,C2,1st,Female,T0032,0.849,100.0,98.5,91.6
2022,S0553,C2,2nd,Female,T0035,0.938,74.4,80.3,82.6
2023,S0553,C2,3rd,Female,T0096,0.808,79.8,67.3,61.8
2024,S0553,C2,4th,Female,T0045,0.969,96.5,88.4,76.5
2025,S0553,C2,5th,Female,T0086,0.828,73.8,76.3,83.2
2021,S0554,C2,1st,Male,T0032,0.854,88.4,80.7,79.2
2022,S0554,C2,2nd,Male,T0038,0.821,69.6,77.0,71.6
2023,S0554,C2,3rd,Male,T0041,0.973,93.1,97.5,96.9
2024,S0554,C2,4th,Male,T0044,1.0,97.0,94.0,89.7
2025,S0554,C2,5th,Male,T0047,0.782,70.9,73.5,79.8
2021,S0555,C2,1st,Male,T0033,0.908,79.2,83.0,81.8
2022,S0555,C2,2nd,Male,T0038,0.899,81.3,75.1,62.3
2023,S0555,C2,3rd,Male,T0096,0.882,80.6,68.4,81.8
2024,S0555,C2,4th,Male,T0084,0.848,75.4,75.8,82.3
2025,S0555,C2,5th,Male,T0086,0.84,81.4,55.1,74.6
2021,S0556,C2,1st,Male,T0032,0.808,99.0,77.7,76.4
2022,S0556,C2,2nd,Male,T0038,0.805,74.3,77.0,67.6
2023,S0556,C2,3rd,Male,T0083,0.886,81.0,81.4,68.5
2024,S0556,C2,4th,Male,T0044,0.917,100.0,81.1,86.0
2025,S0556,C2,5th,Male,T0102,0.946,89.5,100.0,82.3
2021,S0557,C2,1st,Male,T0031,0.832,68.9,76.3,78.7
2022,S0557,C2,2nd,Male,T0081,1.0,88.7,75.7,82.5
2023,S0557,C2,3rd,Male,T0042,0.746,84.5,55.4,74.4
2024,S0557,C2,4th,Male,T0044,0.897,96.3,84.3,80.4
2025,S0557,C2,5th,Male,T0103,0.937,69.9,49.1,72.4
2021,S0558,C2,1st,Female,T0030,0.919,75.8,68.0,77.9
2022,S0558,C2,2nd,Female,T0036,0.785,85.2,87.1,88.9
2023,S0558,C2,3rd,Female,T0042,1.0,89.9,90.3,94.4
2024,S0558,C2,4th,Female,T0043,0.834,97.0,88.2,88.4
2025,S0558,C2,5th,Female,T0086,0.97,82.5,83.7,79.1
2021,S0559,C2,1st,Male,T0033,0.838,86.5,90.3,96.7
2022,S0559,C2,2nd,Male,T0081,0.919,76.7,69.0,76.9
2023,S0559,C2,3rd,Male,T0083,0.88,80.2,76.4,80.7
2024,S0559,C2,4th,Male,T0084,0.833,71.1,62.2,62.9
2025,S0559,C2,5th,Male,T0086,0.882,76.2,58.0,70.6
2021,S0560,C2,1st,Male,T0031,0.881,83.3,75.4,80.9
2022,S0560,C2,2nd,Male,T0038,0.973,90.5,78.9,80.5
2023,S0560,C2,3rd,Male,T0083,0.961,80.0,85.1,75.7
2024,S0560,C2,4th,Male,T0084,0.88,62.7,66.0,75.1
2025,S0560,C2,5th,Male,T0047,0.8,79.4,66.2,84.2
2021,S0561,C2,1st,Female,T0031,0.935,81.1,70.9,64.8
2022,S0561,C2,2nd,Female,T0038,0.908,82.4,70.8,71.7
2023,S0561,C2,3rd,Female,T0041,0.929,90.9,94.9,91.6
2024,S0561,C2,4th,Female,T0045,0.889,79.5,83.7,91.6
2025,S0561,C2,5th,Female,T0047,1.0,91.8,82.1,86.5
2021,S0562,C2,1st,Male,T0030,0.884,70.3,60.3,67.3
2022,S0562,C2,2nd,Male,T0081,0.822,69.2,66.7,71.3
2023,S0562,C2,3rd,Male,T0042,0.835,84.8,79.2,82.3
2024,S0562,C2,4th,Male,T0045,0.929,82.5,83.3,86.7
2025,S0562,C2,5th,Male,T0047,0.878,82.7,79.3,86.5
2021,S0563,C2,1st,Female,T0030,0.951,64.4,63.6,76.7
2022,S0563,C2,2nd,Female,T0036,0.851,91.8,87.5,92.2
2023,S0563,C2,3rd,Female,T0042,0.92,97.0,71.9,78.5
2024,S0563,C2,4th,Female,T0044,0.851,83.7,84.8,94.2
2025,S0563,C2,5th,Female,T0047,0.897,85.9,75.6,80.6
2021,S0564,C2,2nd,Female,T0035,1.0,82.8,76.8,82.1
2022,S0564,C2,3rd,Female,T0040,0.914,68.3,69.4,65.3
2023,S0564,C2,4th,Female,T0045,0.999,86.0,93.9,80.6
2024,S0564,C2,5th,Female,T0086,0.928,77.4,56.3,80.9
2021,S0565,C2,2nd,Male,T0036,0.898,88.9,87.8,83.8
2022,S0565,C2,3rd,Male,T0041,0.866,87.9,86.9,76.3
2023,S0565,C2,4th,Male,T0044,0.973,98.1,81.2,94.8
2024,S0565,C2,5th,Male,T0047,0.918,82.6,79.8,83.2
2021,S0566,C2,2nd,Female,T0037,0.964,81.6,87.8,87.3
2022,S0566,C2,3rd,Female,T0040,0.971,73.0,52.3,55.2
2023,S0566,C2,4th,Female,T0044,0.99,90.4,93.9,96.6
2024,S0566,C2,5th,Female,T0102,0.853,81.7,83.7,77.6
2021,S0567,C2,2nd,Female,T0034,0.995,69.9,53.8,69.3
2022,S0567,C2,3rd,Female,T0040,1.0,77.3,88.8,72.5
2023,S0567,C2,4th,Female,T0045,0.958,70.3,81.6,75.4
2024,S0567,C2,5th,Female,T0047,0.944,93.8,73.4,89.5
2021,S0568,C2,2nd,Female,T0038,1.0,97.6,100.0,92.4
2022,S0568,C2,3rd,Female,T0083,0.983,87.3,81.9,91.0
2023,S0568,C2,4th,Female,T0043,0.954,83.9,76.8,70.9
2024,S0568,C2,5th,Female,T0102,0.881,89.2,80.6,78.9
2021,S0569,C2,2nd,Male,T0036,0.979,90.3,94.8,95.7
2022,S0569,C2,3rd,Male,T0041,0.763,72.1,90.2,81.6
2023,S0569,C2,4th,Male,T0084,0.871,76.9,84.8,84.8
2024,S0569,C2,5th,Male,T0102,0.921,83.5,77.3,83.6
2021,S0570,C2,2nd,Female,T0035,0.776,76.0,60.4,72.4
2022,S0570,C2,3rd,Female,T0083,0.992,93.6,86.3,80.0
2023,S0570,C2,4th,Female,T0084,0.863,81.1,76.6,80.5
2024,S0570,C2,5th,Female,T0103,0.956,88.5,79.7,100.0
2021,S0571,C2,2nd,Female,T0037,0.931,91.0,74.0,86.0
2022,S0571,C2,3rd,Female,T0083,0.893,87.9,87.3,78.3
2023,S0571,C2,4th,Female,T0043,0.738,59.0,73.0,57.5
2024,S0571,C2,5th,Female,T0103,0.788,80.9,72.1,75.1
2021,S0572,C2,2nd,Male,T0034,0.826,51.3,58.5,57.6
2022,S0572,C2,3rd,Male,T0040,0.805,77.3,58.9,54.8
2023,S0572,C2,4th,Male,T0043,0.914,80.8,63.0,71.7
2024,S0572,C2,5th,Male,T0103,0.94,80.5,87.6,88.4
2021,S0573,C2,2nd,Male,T0034,0.943,66.7,63.3,72.7
2022,S0573,C2,3rd,Male,T0041,0.938,88.2,90.7,99.8
2023,S0573,C2,4th,Male,T0045,0.963,78.4,74.9,91.1
2024,S0573,C2,5th,Male,T0103,0.871,64.9,60.7,72.6
2021,S0574,C2,2nd,Female,T0037,0.737,72.0,67.5,63.8
2022,S0574,C2,3rd,Female,T0040,0.795,71.4,45.3,52.4
2023,S0574,C2,4th,Female,T0045,0.868,70.4,76.3,69.6
2024,S0574,C2,5th,Female,T0102,0.936,88.3,82.1,85.5
2021,S0575,C2,2nd,Male,T0038,0.936,96.8,93.2,96.3
2022,S0575,C2,3rd,Male,T0041,0.908,93.2,93.4,86.8
2023,S0575,C2,4th,Male,T0044,1.0,90.2,96.8,96.5
2024,S0575,C2,5th,Male,T0047,0.92,84.1,75.7,88.7
2021,S0576,C2,2nd,Male,T0036,1.0,93.4,89.9,77.3
2022,S0576,C2,3rd,Male,T0040,0.967,57.0,75.5,84.2
2023,S0576,C2,4th,Male,T0045,0.87,73.9,76.7,79.6
2024,S0576,C2,5th,Male,T0047,0.929,84.6,78.8,86.7
2021,S0577,C2,2nd,Female,T0037,0.959,75.6,71.9,88.8
2022,S0577,C2,3rd,Female,T0083,1.0,87.8,71.9,93.5
2023,S0577,C2,4th,Female,T0043,0.938,87.6,84.7,84.4
2024,S0577,C2,5th,Female,T0047,0.842,75.2,66.5,88.3
2021,S0578,C2,2nd,Male,T0034,0.87,71.2,56.9,59.5
2022,S0578,C2,3rd,Male,T0042,0.949,97.1,86.7,92.3
2023,S0578,C2,4th,Male,T0045,1.0,77.8,69.5,83.1
2024,S0578,C2,5th,Male,T0047,1.0,94.3,87.0,86.7
2021,S0579,C2,2nd,Female,T0035,0.86,77.7,77.5,78.1
2022,S0579,C2,3rd,Female,T0042,0.866,79.5,83.8,74.6
2023,S0579,C2,4th,Female,T0043,0.862,82.8,71.8,72.5
2024,S0579,C2,5th,Female,T0102,0.808,80.5,78.6,74.3
2021,S0580,C2,2nd,Male,T0038,0.969,98.5,96.0,90.2
2022,S0580,C2,3rd,Male,T0042,0.983,98.8,88.3,88.5
2023,S0580,C2,4th,Male,T0043,0.879,89.3,73.4,74.3
2024,S0580,C2,5th,Male,T0103,0.969,89.5,82.4,80.7
2021,S0581,C2,2nd,Female,T0034,0.929,74.3,60.1,70.3
2022,S0581,C2,3rd,Female,T0042,0.845,74.9,70.4,74.9
2023,S0581,C2,4th,Female,T0045,1.0,75.7,82.4,74.4
2024,S0581,C2,5th,Female,T0103,0.99,91.4,80.4,88.1
2021,S0582,C2,2nd,Male,T0035,0.849,79.9,73.9,80.2
2022,S0582,C2,3rd,Male,T0042,0.939,97.2,90.2,78.0
2023,S0582,C2,4th,Male,T0045,0.904,69.2,95.4,78.4
2024,S0582,C2,5th,Male,T0102,0.9,85.8,60.8,89.6
2021,S0583,C2,2nd,Female,T0036,0.786,79.7,85.6,84.1
2022,S0583,C2,3rd,Female,T0041,0.823,79.9,82.9,69.7
2023,S0583,C2,4th,Female,T0044,0.975,89.0,81.3,88.5
2024,S0583,C2,5th,Female,T0086,0.841,86.8,61.2,75.8
2021,S0584,C2,2nd,Male,T0038,0.846,83.3,85.5,95.2
2022,S0584,C2,3rd,Male,T0042,0.793,87.3,76.5,80.1
2023,S0584,C2,4th,Male,T0084,0.868,89.0,69.9,88.0
2024,S0584,C2,5th,Male,T0047,0.942,85.6,90.7,89.4
2021,S0585,C2,2nd,Female,T0036,0.947,94.0,82.2,100.0
2022,S0585,C2,3rd,Female,T0040,0.883,69.0,85.2,59.6
2023,S0585,C2,4th,Female,T0043,0.918,85.3,72.1,80.3
2024,S0585,C2,5th,Female,T0103,0.865,71.0,74.7,70.5
2021,S0586,C2,2nd,Male,T0038,1.0,97.0,90.0,91.5
2022,S0586,C2,3rd,Male,T0041,0.925,92.9,76.6,86.2
2023,S0586,C2,4th,Male,T0045,0.976,91.2,93.5,89.2
2024,S0586,C2,5th,Male,T0103,0.885,89.0,76.1,74.1
2021,S0587,C2,2nd,Female,T0034,1.0,76.1,77.2,73.5
2022,S0587,C2,3rd,Female,T0041,0.873,93.7,86.7,91.5
2023,S0587,C2,4th,Female,T0044,0.979,91.6,92.9,97.8
2024,S0587,C2,5th,Female,T0047,0.823,94.6,81.0,79.6
2021,S0588,C2,2nd,Female,T0038,0.977,97.9,88.1,91.4
2022,S0588,C2,3rd,Female,T0040,0.862,72.6,73.0,76.4
2023,S0588,C2,4th,Female,T0043,0.969,79.7,73.1,83.4
2024,S0588,C2,5th,Female,T0086,0.707,72.8,63.2,85.4
2021,S0589,C2,2nd,Female,T0038,0.918,94.5,92.4,84.1
2022,S0589,C2,3rd,Female,T0042,0.972,94.2,95.9,89.5
2023,S0589,C2,4th,Female,T0043,0.824,76.5,77.7,70.0
2024,S0589,C2,5th,Female,T0047,0.836,78.8,75.9,83.9
2021,S0590,C2,2nd,Female,T0035,0.886,75.2,85.0,72.5
2022,S0590,C2,3rd,Female,T0040,0.896,68.6,61.2,64.8
2023,S0590,C2,4th,Female,T0043,0.748,76.2,67.2,73.7
2024,S0590,C2,5th,Female,T0086,0.862,81.7,75.8,78.1
2021,S0591,C2,2nd,Male,T0036,0.837,94.3,81.6,95.8
2022,S0591,C2,3rd,Male,T0041,0.877,92.4,80.1,80.1
2023,S0591,C2,4th,Male,T0084,0.993,89.0,85.3,92.9
2024,S0591,C2,5th,Male,T0086,0.852,81.1,76.1,78.3
2021,S0592,C2,2nd,Female,T0037,0.784,68.0,68.7,71.8
2022,S0592,C2,3rd,Female,T0041,0.992,92.2,95.7,94.5
2023,S0592,C2,4th,Female,T0043,0.795,76.5,76.2,72.6
2024,S0592,C2,5th,Female,T0086,0.812,80.6,60.2,80.9
2021,S0593,C2,2nd,Male,T0034,0.938,69.3,64.1,82.3
2022,S0593,C2,3rd,Male,T0041,0.922,96.3,88.9,88.1
2023,S0593,C2,4th,Male,T0044,0.917,93.6,81.0,98.4
2024,S0593,C2,5th,Male,T0086,0.871,68.2,61.4,78.3
2021,S0594,C2,2nd,Male,T0035,0.845,66.0,72.7,80.5
2022,S0594,C2,3rd,Male,T0040,0.903,76.0,63.1,63.0
2023,S0594,C2,4th,Male,T0044,0.848,92.1,89.6,82.8
2024,S0594,C2,5th,Male,T0047,0.867,71.9,82.3,82.7
2021,S0595,C2,2nd,Male,T0037,0.755,63.6,67.6,66.4
2022,S0595,C2,3rd,Male,T0040,0.898,68.3,53.7,66.7
2023,S0595,C2,4th,Male,T0084,0.839,76.1,69.9,72.8
2024,S0595,C2,5th,Male,T0086,0.931,76.3,93.8,74.1
2021,S0596,C2,2nd,Female,T0034,0.81,63.4,62.0,57.6
2022,S0596,C2,3rd,Female,T0083,0.882,71.3,76.0,78.2
2023,S0596,C2,4th,Female,T0084,0.859,74.1,65.3,75.2
2024,S0596,C2,5th,Female,T0047,0.926,82.8,82.7,89.6
2021,S0597,C2,2nd,Female,T0036,0.936,94.6,100.0,86.0
2022,S0597,C2,3rd,Female,T0041,0.905,100.0,91.0,77.5
2023,S0597,C2,4th,Female,T0084,0.867,81.3,74.0,78.8
2024,S0597,C2,5th,Female,T0102,0.909,81.3,67.0,82.1
2021,S0598,C2,2nd,Male,T0034,0.833,61.1,68.9,60.6
2022,S0598,C2,3rd,Male,T0040,0.939,75.6,74.1,69.3
2023,S0598,C2,4th,Male,T0044,1.0,98.0,99.5,100.0
2024,S0598,C2,5th,Male,T0047,0.952,85.8,74.9,96.9
2021,S0599,C2,2nd,Female,T0037,0.799,87.5,66.4,78.9
2022,S0599,C2,3rd,Female,T0041,0.805,84.6,80.9,79.1
2023,S0599,C2,4th,Female,T0084,0.874,85.6,82.2,84.1
2024,S0599,C2,5th,Female,T0047,0.9,81.4,75.7,84.0
2021,S0600,C2,2nd,Male,T0038,0.934,95.0,91.3,86.4
2022,S0600,C2,3rd,Male,T0042,0.803,74.7,82.9,73.9
2023,S0600,C2,4th,Male,T0043,0.849,78.0,72.1,80.0
2024,S0600,C2,5th,Male,T0103,0.873,87.8,84.9,77.8
2021,S0601,C2,2nd,Male,T0037,1.0,82.3,84.5,70.9
2022,S0601,C2,3rd,Male,T0042,1.0,85.3,91.0,96.0
2023,S0601,C2,4th,Male,T0045,0.836,78.4,66.5,75.1
2024,S0601,C2,5th,Male,T0102,0.728,67.7,72.1,77.3
2021,S0602,C2,2nd,Male,T0037,0.926,89.7,80.9,76.3
2022,S0602,C2,3rd,Male,T0041,0.907,89.3,92.3,87.0
2023,S0602,C2,4th,Male,T0045,0.778,66.7,72.5,69.2
2024,S0602,C2,5th,Male,T0086,0.861,79.5,76.3,83.9
2021,S0603,C2,2nd,Male,T0034,0.914,66.5,70.1,65.1
2022,S0603,C2,3rd,Male,T0083,0.844,89.2,89.7,84.0
2023,S0603,C2,4th,Male,T0043,0.877,85.2,83.3,88.2
2024,S0603,C2,5th,Male,T0103,0.952,92.6,73.6,85.4
2021,S0604,C2,2nd,Female,T0034,0.857,68.3,62.4,63.0
2022,S0604,C2,3rd,Female,T0042,0.906,78.7,97.5,88.1
2023,S0604,C2,4th,Female,T0045,0.955,83.1,79.8,79.2
2024,S0604,C2,5th,Female,T0047,0.837,78.1,83.2,88.1
2021,S0605,C2,2nd,Female,T0038,0.886,84.7,94.5,91.5
2022,S0605,C2,3rd,Female,T0040,0.943,76.4,63.8,77.4
2023,S0605,C2,4th,Female,T0084,0.887,81.3,90.2,84.5
2024,S0605,C2,5th,Female,T0047,0.811,75.7,81.4,79.3
2021,S0606,C2,2nd,Female,T0034,0.888,69.5,69.5,77.8
2022,S0606,C2,3rd,Female,T0042,0.94,91.8,89.3,88.2
2023,S0606,C2,4th,Female,T0084,0.857,80.6,68.1,75.8
2024,S0606,C2,5th,Female,T0086,0.883,76.7,86.3,94.6
2021,S0607,C2,2nd,Male,T0036,0.76,82.0,78.3,86.8
2022,S0607,C2,3rd,Male,T0040,0.835,65.6,53.3,70.0
2023,S0607,C2,4th,Male,T0045,0.974,89.2,89.4,85.0
2024,S0607,C2,5th,Male,T0103,0.987,82.7,73.1,84.4
2021,S0608,C2,2nd,Male,T0038,0.906,89.7,96.2,92.7
2022,S0608,C2,3rd,Male,T0083,0.86,78.7,75.6,79.4
2023,S0608,C2,4th,Male,T0045,0.938,72.6,78.1,82.4
2024,S0608,C2,5th,Male,T0047,0.999,96.8,83.2,92.9
2021,S0609,C2,2nd,Male,T0034,0.817,57.3,63.8,61.9
2022,S0609,C2,3rd,Male,T0083,1.0,90.7,95.3,96.5
2023,S0609,C2,4th,Male,T0045,0.885,72.0,74.8,69.6
2024,S0609,C2,5th,Male,T0103,0.833,74.9,66.5,82.9
2021,S0610,C2,2nd,Female,T0037,0.751,67.6,74.9,68.4
2022,S0610,C2,3rd,Female,T0042,0.873,82.7,85.9,83.3
2023,S0610,C2,4th,Female,T0045,0.873,71.6,69.6,59.1
2024,S0610,C2,5th,Female,T0086,0.821,72.1,83.9,83.6
2021,S0611,C2,2nd,Male,T0036,0.907,91.1,92.7,89.7
2022,S0611,C2,3rd,Male,T0041,0.813,84.6,93.8,98.4
2023,S0611,C2,4th,Male,T0084,0.889,78.7,77.5,89.0
2024,S0611,C2,5th,Male,T0103,0.861,79.2,75.7,80.1
2021,S0612,C2,2nd,Female,T0037,0.748,67.0,72.0,47.5
2022,S0612,C2,3rd,Female,T0083,0.721,69.5,71.3,70.9
2023,S0612,C2,4th,Female,T0045,0.901,96.2,72.1,88.1
2024,S0612,C2,5th,Female,T0102,0.981,90.6,85.1,100.0
2021,S0613,C2,2nd,Female,T0035,0.854,75.5,78.2,76.4
2022,S0613,C2,3rd,Female,T0041,0.952,87.7,96.9,96.3
2023,S0613,C2,4th,Female,T0084,0.828,92.0,69.7,81.4
2024,S0613,C2,5th,Female,T0102,0.975,86.3,72.5,96.5
2021,S0614,C2,2nd,Female,T0036,0.886,79.8,76.7,80.5
2022,S0614,C2,3rd,Female,T0083,0.848,81.4,73.4,91.6
2023,S0614,C2,4th,Female,T0045,0.948,77.3,77.4,82.3
2024,S0614,C2,5th,Female,T0103,0.904,72.6,78.2,87.1
2021,S0615,C2,2nd,Female,T0034,0.923,62.2,84.0,69.1
2022,S0615,C2,3rd,Female,T0083,0.881,70.7,69.2,75.9
2023,S0615,C2,4th,Female,T0045,0.854,74.9,70.3,70.4
2024,S0615,C2,5th,Female,T0086,0.91,86.6,74.6,86.0
2021,S0616,C2,2nd,Male,T0037,0.863,74.7,73.1,67.5
2022,S0616,C2,3rd,Male,T0041,0.932,92.1,92.1,94.7
2023,S0616,C2,4th,Male,T0084,0.832,67.9,67.9,74.0
2024,S0616,C2,5th,Male,T0086,0.778,71.5,69.9,85.5
2021,S0617,C2,2nd,Female,T0038,0.913,90.0,92.0,87.7
2022,S0617,C2,3rd,Female,T0041,0.887,86.1,92.1,86.6
2023,S0617,C2,4th,Female,T0043,0.881,69.9,71.7,80.0
2024,S0617,C2,5th,Female,T0086,0.807,79.6,62.4,67.0
2021,S0618,C2,2nd,Female,T0034,0.883,76.9,72.6,67.3
2022,S0618,C2,3rd,Female,T0040,0.976,63.8,69.2,73.0
2023,S0618,C2,4th,Female,T0043,0.802,79.5,75.4,76.2
2024,S0618,C2,5th,Female,T0086,0.846,77.2,73.3,77.0
2021,S0619,C2,2nd,Female,T0035,0.837,76.4,83.1,77.4
2022,S0619,C2,3rd,Female,T0083,1.0,76.6,90.2,87.7
2023,S0619,C2,4th,Female,T0084,0.909,75.8,78.8,78.5
2024,S0619,C2,5th,Female,T0102,0.854,93.5,74.7,84.1
2021,S0620,C2,2nd,Male,T0035,1.0,81.1,77.6,80.4
2022,S0620,C2,3rd,Male,T0041,1.0,98.0,90.7,96.2
2023,S0620,C2,4th,Male,T0045,1.0,94.8,67.8,86.8
2024,S0620,C2,5th,Male,T0086,1.0,89.8,91.1,98.2
2021,S0621,C2,2nd,Male,T0036,0.756,89.4,82.3,75.1
2022,S0621,C2,3rd,Male,T0040,0.775,55.6,50.6,65.6
2023,S0621,C2,4th,Male,T0045,0.856,76.9,62.7,89.4
2024,S0621,C2,5th,Male,T0103,0.957,78.4,80.6,90.0
2021,S0622,C2,2nd,Male,T0038,0.93,91.8,97.8,92.1
2022,S0622,C2,3rd,Male,T0083,0.937,84.1,80.1,82.5
2023,S0622,C2,4th,Male,T0044,0.839,89.4,70.2,100.0
2024,S0622,C2,5th,Male,T0102,0.953,96.8,91.0,97.4
2021,S0623,C2,2nd,Female,T0036,0.961,77.6,85.0,88.3
2022,S0623,C2,3rd,Female,T0083,1.0,86.0,85.6,82.0
2023,S0623,C2,4th,Female,T0045,0.96,83.5,82.0,86.4
2024,S0623,C2,5th,Female,T0102,0.804,78.0,60.9,71.8
2021,S0624,C2,2nd,Female,T0036,0.865,80.9,83.4,90.8
2022,S0624,C2,3rd,Female,T0042,0.953,78.2,89.6,90.1
2023,S0624,C2,4th,Female,T0044,0.874,90.8,87.9,79.3
2024,S0624,C2,5th,Female,T0086,0.886,71.5,72.7,83.4
2021,S0625,C2,2nd,Female,T0037,0.888,70.5,69.0,69.1
2022,S0625,C2,3rd,Female,T0083,0.91,79.5,82.2,68.5
2023,S0625,C2,4th,Female,T0084,0.998,88.6,88.3,87.3
2024,S0625,C2,5th,Female,T0086,0.943,84.8,68.3,83.8
2021,S0626,C2,2nd,Male,T0034,0.88,58.1,58.8,63.6
2022,S0626,C2,3rd,Male,T0042,0.924,89.5,77.3,86.9
2023,S0626,C2,4th,Male,T0084,0.724,82.7,59.6,62.3
2024,S0626,C2,5th,Male,T0047,0.964,92.6,75.6,97.2
2021,S0627,C2,2nd,Female,T0037,0.787,64.6,68.1,80.1
2022,S0627,C2,3rd,Female,T0083,0.966,89.2,86.9,83.9
2023,S0627,C2,4th,Female,T0045,0.884,82.5,73.1,93.1
2024,S0627,C2,5th,Female,T0086,0.758,71.2,63.6,65.6
2021,S0628,C2,2nd,Male,T0037,0.889,71.0,81.3,73.1
2022,S0628,C2,3rd,Male,T0042,0.799,77.1,75.5,90.7
2023,S0628,C2,4th,Male,T0045,0.982,93.4,88.8,70.9
2024,S0628,C2,5th,Male,T0103,0.917,85.9,83.2,94.4
2021,S0629,C2,2nd,Male,T0034,0.93,70.7,75.5,62.2
2022,S0629,C2,3rd,Male,T0040,0.937,74.8,79.4,65.4
2023,S0629,C2,4th,Male,T0045,0.893,77.3,60.6,75.7
2024,S0629,C2,5th,Male,T0086,0.828,79.4,75.8,77.3
2021,S0630,C2,2nd,Male,T0037,0.826,63.6,85.5,78.5
2022,S0630,C2,3rd,Male,T0083,1.0,81.8,84.3,75.7
2023,S0630,C2,4th,Male,T0084,0.971,73.8,75.2,95.8
2024,S0630,C2,5th,Male,T0103,0.873,85.3,72.6,72.0
2021,S0631,C2,2nd,Female,T0034,0.849,66.9,51.2,59.7
2022,S0631,C2,3rd,Female,T0041,0.855,87.3,88.8,92.4
2023,S0631,C2,4th,Female,T0044,0.872,94.5,76.5,92.5
2024,S0631,C2,5th,Female,T0102,0.9,77.0,59.3,84.3
2021,S0632,C2,2nd,Male,T0037,0.887,77.8,77.9,67.0
2022,S0632,C2,3rd,Male,T0083,0.959,84.1,88.0,83.9
2023,S0632,C2,4th,Male,T0045,0.901,93.5,77.4,79.3
2024,S0632,C2,5th,Male,T0102,0.911,84.5,88.0,97.2
2021,S0633,C2,2nd,Female,T0038,1.0,96.2,100.0,92.4
2022,S0633,C2,3rd,Female,T0042,0.913,89.4,87.4,76.1
2023,S0633,C2,4th,Female,T0043,0.843,76.6,84.0,81.5
2024,S0633,C2,5th,Female,T0047,0.808,85.2,74.4,72.0
2021,S0634,C2,2nd,Female,T0038,0.943,93.4,91.8,91.1
2022,S0634,C2,3rd,Female,T0041,0.815,94.4,85.1,79.2
2023,S0634,C2,4th,Female,T0084,0.821,86.2,80.4,75.4
2024,S0634,C2,5th,Female,T0047,0.805,83.5,86.2,84.7
2021,S0635,C2,2nd,Male,T0035,0.852,77.8,74.5,70.2
2022,S0635,C2,3rd,Male,T0083,0.831,73.7,70.2,77.8
2023,S0635,C2,4th,Male,T0043,0.853,74.3,64.5,82.0
2024,S0635,C2,5th,Male,T0103,0.875,89.2,75.0,77.0
2021,S0636,C2,2nd,Female,T0036,0.854,88.2,85.8,88.8
2022,S0636,C2,3rd,Female,T0042,1.0,100.0,93.6,87.8
2023,S0636,C2,4th,Female,T0044,0.91,92.5,83.7,86.9
2024,S0636,C2,5th,Female,T0047,1.0,100.0,99.3,97.7
2021,S0637,C2,2nd,Male,T0034,0.877,70.6,59.4,53.4
2022,S0637,C2,3rd,Male,T0083,0.88,96.5,83.1,87.5
2023,S0637,C2,4th,Male,T0084,0.886,80.2,85.0,91.1
2024,S0637,C2,5th,Male,T0102,0.903,85.6,84.7,87.0
